Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
Gebärdensprachkurs	8696	Gebärdensprachkurs	(N.) Gebärdensprachkurs	2	b	•	•	•	•	•	8696	1
Gehörlosenschule_1	1745	Gehörlosenschule	'(N.) Gehörlosenschule, Schule für gehörlose Kinder'	2	b	•	•	•		•	1745	1
Gehörlosenschule_2	4859	Gehörlosenschule	'(N.) Gehörlosenschule, Schule für gehörlose Kinder'	2	b				•		4859	1
Gehörlosenzentrum	1746	Gehörlosenzentrum	'(N.) Gehörlosenzentrum  Hinweis: bezeichnet einen Ort bzw. Gebäude, wo sich verschiedene Gehörloseninstitutionen befinden und/oder wo sich ein Treffpunkt-(Raum) für Gehörlose befindet.'	2	b	•	•	•	•	•	1746	1
interessant	797	'interessant, Interesse'	'(Adj.) interessant, etwas als interessant befinden  (N.) Interesse, Interesse haben'	2	b	•	•	•	•	•	797	1
Italienisch_1	8599	'Italienisch, italienisch'	(N.) Italienisch (Sprache)  (Adj.) italienisch	2	b	•	•	•		•	8599	1
Italienisch_2	4518	'Italienisch, italienisch'	(N.) Italienisch (Sprache)  (Adj.) italienisch	2	b				•		4518	1
langweilig	410	'langweilig, öde, uninteressant, spannungslos, langweilen'	'(Adj.) langweilig, öde, uninteressant, spannungslos  (V.) sich langweilen'	2	b	•	•	•	•	•	410	1
Lehrer_1	589	'Lehrer, Lehrerin, Lehrender, Lehrende'	'(N.) Lehrer, Lehrerin, Lehrender, Lehrende'	2	b		•	•	•	•	589	1
Lehrer_2	4717	'Lehrer, Lehrkraft, Lehrender'	'(N.) Lehrer, Lehrerin, Lehrender, Lehrende'	2	b	•					4717	1
lernen_1	656	lernen	'(V.) lernen (allgemein)  z.B. kochen lernen, in der Lehre/Ausbildung etw. lernen,  '	2	b	•	•	•		•	656	1
lernen_2	4529	lernen	'(V.) lernen (allgemein)  z.B. kochen lernen, in der Lehre/Ausbildung etw. lernen,  '	2	b				•		4529	1
neunundzwanzig	3053	'29, neunundzwanzig'	(Zahlwort) neunundzwanzig (29)	2	b	•	•	•	•	•	3053	1
schreiben_1	675	'schreiben, aufschreiben, notieren, Schrift, Notizen, Schreiben, schriftlich'	'(V.) schreiben, aufschreiben, notieren  (N.) Schrift, Notizen, Schreiben  (Adj.) schriftlich  Notiz: auch Schulfach 'Schreiben''	2	b	•	•	•		•	675	1
schreiben_2	4551	'schreiben, aufschreiben, notieren, Schrift, Notizen, Schreiben, schriftlich'	'(V.) schreiben, aufschreiben, notieren  (N.) Schrift, Notizen, Schreiben  (Adj.) schriftlich  Notiz: auch Schulfach 'Schreiben''	2	b				•		4551	1
Schüler_1	8496	Schüler	'(N.) Schüler, Schülerin'	2	b		•	•		•	8496	1
Schüler_2	4553	Schüler	'(N.) Schüler, Schülerin'	2	b	•			•		4553	1
